,Escola,sexo,idade,endereco,tamfamilia,paisjuntos,EducacaoMae,EducacaoPai,TrabMae,TrabPai,razoes,responsavel,deslocamento,TempoDeEstudo,reprovacoes,ApoioEscolar,ApoioFamiliar,AulasParticulares,AtividadeExtra,Creche,Graduacao,internet,namoro,relacionamentoFamiliar,TempoLivre,PasseiosComAmigos,ConsumoT,ConsumoFS,saude,faltas,nota1,nota2,Nota Final
79,Escola1,F,16,U,GT3,T,3,4,em_casa,outro,curso preferido,mae,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5
80,Escola1,M,15,U,GT3,T,2,3,outro,servicos,curso preferido,pai,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12
81,Escola1,M,15,U,GT3,T,2,3,outro,outro,proximidade,mae,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11
82,Escola1,F,15,U,LE3,T,3,2,servicos,outro,reputacao,mae,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6
83,Escola1,M,15,U,LE3,T,2,2,servicos,servicos,proximidade,mae,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15
84,Escola1,F,15,U,GT3,T,1,1,outro,outro,proximidade,pai,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10
85,Escola1,F,15,U,GT3,T,4,4,servicos,servicos,reputacao,pai,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8
86,Escola1,F,16,U,LE3,T,2,2,em_casa,outro,curso preferido,mae,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6
87,Escola1,F,15,U,GT3,T,4,2,outro,outro,reputacao,mae,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14
88,Escola1,M,16,U,GT3,T,2,2,servicos,outro,reputacao,pai,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10
89,Escola1,M,16,U,LE3,A,4,4,professor,saude,reputacao,mae,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7
90,Escola1,F,16,U,GT3,T,3,3,outro,outro,proximidade,mae,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8
91,Escola1,F,15,U,GT3,T,4,3,servicos,outro,reputacao,mae,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18
92,Escola1,F,16,U,LE3,T,3,1,outro,outro,proximidade,pai,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6
93,Escola1,F,16,U,GT3,T,4,2,professor,servicos,proximidade,mae,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10
94,Escola1,M,15,U,LE3,T,2,2,servicos,saude,reputacao,mae,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14
95,Escola1,F,15,R,GT3,T,1,1,em_casa,outro,proximidade,mae,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10
96,Escola1,M,16,R,GT3,T,4,3,servicos,outro,reputacao,mae,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15
97,Escola1,F,16,U,GT3,T,2,1,outro,outro,curso preferido,mae,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10
98,Escola1,F,16,U,GT3,T,4,4,outro,outro,reputacao,mae,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14
99,Escola1,F,16,U,GT3,T,4,3,outro,em_casa,curso preferido,mae,1,3,0,yes,yes,yes,no,yes,yes,yes,no,5,3,5,1,1,3,0,7,9,8
100,Escola1,M,16,U,GT3,T,4,4,servicos,servicos,outro,mae,1,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5
101,Escola1,M,16,U,GT3,T,4,4,servicos,professor,outro,pai,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17
102,Escola1,M,15,U,GT3,T,4,4,servicos,outro,curso preferido,mae,1,1,0,no,yes,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14
103,Escola1,F,15,U,GT3,T,3,2,servicos,outro,proximidade,mae,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,3,5,1,1,2,26,7,6,6
104,Escola1,M,15,U,GT3,A,3,4,servicos,outro,curso preferido,mae,1,2,0,no,yes,yes,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18
105,Escola1,F,15,U,GT3,A,3,3,outro,saude,reputacao,pai,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11
106,Escola1,F,15,U,GT3,T,2,2,outro,outro,curso preferido,mae,1,4,0,yes,yes,yes,no,yes,yes,yes,no,5,1,2,1,1,3,8,7,8,8
107,Escola1,M,16,U,GT3,T,3,3,servicos,outro,proximidade,pai,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18
108,Escola1,M,15,R,GT3,T,4,4,outro,outro,proximidade,pai,4,4,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,5,3,5,1,6,10,13,13
109,Escola1,F,16,U,LE3,T,4,4,saude,saude,outro,mae,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16
110,Escola1,M,15,U,LE3,A,4,4,professor,professor,curso preferido,mae,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,6,18,19,19
111,Escola1,F,16,R,GT3,T,3,3,servicos,outro,reputacao,pai,1,3,1,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10
112,Escola1,F,16,U,GT3,T,2,2,em_casa,outro,proximidade,mae,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13
113,Escola1,M,15,U,LE3,T,4,2,professor,outro,curso preferido,mae,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,19,19
114,Escola1,M,15,R,GT3,T,2,1,saude,servicos,reputacao,mae,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,8,9,9,9
115,Escola1,M,16,U,GT3,T,4,4,professor,professor,curso preferido,pai,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16
116,Escola1,M,15,U,GT3,T,4,4,outro,professor,reputacao,pai,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,2,11,13,14
117,Escola1,M,16,U,GT3,T,3,3,outro,servicos,proximidade,pai,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13
118,Escola1,M,17,R,GT3,T,1,3,outro,outro,curso preferido,pai,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,20,9,7,8
119,Escola1,M,15,U,GT3,T,3,4,outro,outro,reputacao,pai,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,6,14,13,13
120,Escola1,F,15,U,GT3,T,1,2,em_casa,servicos,curso preferido,mae,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,2,16,15,15
121,Escola1,M,15,U,GT3,T,2,2,servicos,servicos,proximidade,pai,1,4,0,no,yes,yes,yes,yes,yes,yes,no,5,5,4,1,2,5,6,16,14,15
122,Escola1,F,16,U,LE3,T,2,4,outro,saude,curso preferido,pai,2,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13
123,Escola1,M,16,U,GT3,T,4,4,saude,outro,curso preferido,mae,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13
124,Escola1,F,16,U,GT3,T,2,2,outro,outro,proximidade,mae,1,2,0,no,no,yes,no,yes,yes,yes,yes,5,4,4,1,1,5,0,8,7,8
125,Escola1,M,15,U,GT3,T,3,4,servicos,servicos,proximidade,pai,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,0,13,13,12
126,Escola1,F,15,U,LE3,A,3,4,outro,outro,proximidade,mae,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,7,10,11
127,Escola1,F,19,U,GT3,T,0,1,em_casa,outro,curso preferido,outro,1,2,3,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,2,7,8,9
128,Escola1,M,18,R,GT3,T,2,2,servicos,outro,reputacao,mae,1,1,2,no,yes,no,yes,yes,yes,yes,no,3,3,3,1,2,4,0,7,4,0
129,Escola1,M,16,R,GT3,T,4,4,professor,professor,curso preferido,mae,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18
130,Escola1,F,15,R,GT3,T,3,4,servicos,professor,curso preferido,pai,2,3,2,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,12,0,0
131,Escola1,F,15,U,GT3,T,1,1,em_casa,outro,curso preferido,mae,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,0,8,0,0
132,Escola1,F,17,U,LE3,T,2,2,outro,outro,curso preferido,pai,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,12,10,13,12
133,Escola1,F,16,U,GT3,A,3,4,servicos,outro,curso preferido,pai,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,16,12,11,11
134,Escola1,M,15,R,GT3,T,3,4,em_casa,professor,curso preferido,mae,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,0,9,0,0
135,Escola1,F,15,U,GT3,T,4,4,servicos,em_casa,curso preferido,mae,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,1,1,5,0,11,0,0
136,Escola1,M,17,R,GT3,T,3,4,em_casa,outro,curso preferido,mae,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,4,5,0,10,0,0
137,Escola1,F,16,U,GT3,A,3,3,outro,outro,curso preferido,outro,2,1,2,no,yes,no,yes,no,yes,yes,yes,4,3,2,1,1,5,0,4,0,0
138,Escola1,M,16,U,LE3,T,1,1,servicos,outro,curso preferido,mae,1,2,1,no,no,no,no,yes,yes,no,yes,4,4,4,1,3,5,0,14,12,12
139,Escola1,F,15,U,GT3,T,4,4,professor,professor,curso preferido,mae,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,16,16,15
140,Escola1,M,15,U,GT3,T,4,3,professor,servicos,curso preferido,pai,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,1,1,3,0,7,9,0
141,Escola1,M,16,U,LE3,T,2,2,servicos,servicos,reputacao,pai,2,1,2,no,yes,no,yes,yes,yes,yes,no,2,3,3,2,2,2,8,9,9,9
142,Escola1,F,15,U,GT3,T,4,4,professor,servicos,curso preferido,mae,1,3,0,no,yes,yes,yes,yes,yes,yes,no,4,2,2,1,1,5,2,9,11,11
143,Escola1,F,16,U,LE3,T,1,1,em_casa,em_casa,curso preferido,mae,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,3,3,1,2,14,14,13
144,Escola1,M,17,U,GT3,T,2,1,outro,outro,proximidade,mae,1,1,3,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,0,5,0,0
145,Escola1,F,15,U,GT3,T,1,1,outro,servicos,curso preferido,pai,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,2,1,2,5,0,8,11,11
146,Escola1,F,15,U,GT3,T,3,2,saude,servicos,proximidade,pai,1,2,3,no,yes,no,no,yes,yes,yes,no,3,3,2,1,1,3,0,6,7,0
147,Escola1,F,15,U,GT3,T,1,2,em_casa,outro,curso preferido,mae,1,2,0,no,yes,yes,no,no,yes,yes,no,4,3,2,1,1,5,2,10,11,11
148,Escola1,M,16,U,GT3,T,4,4,professor,professor,curso preferido,mae,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,2,1,5,0,7,6,0
149,Escola1,M,15,U,LE3,A,2,1,servicos,outro,curso preferido,mae,4,1,3,no,no,no,no,yes,yes,yes,no,4,5,5,2,5,5,0,8,9,10
150,Escola1,M,18,U,LE3,T,1,1,outro,outro,curso preferido,mae,1,1,3,no,no,no,no,yes,no,yes,yes,2,3,5,2,5,4,0,6,5,0
151,Escola1,M,16,U,LE3,T,2,1,em_casa,outro,curso preferido,mae,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,3,5,5,6,12,13,14
152,Escola1,F,15,R,GT3,T,3,3,servicos,servicos,reputacao,outro,2,3,2,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,3,3,8,10,10,10
153,Escola1,M,19,U,GT3,T,3,2,servicos,em_casa,proximidade,mae,1,1,3,no,yes,no,no,yes,no,yes,yes,4,5,4,1,1,4,0,5,0,0
154,Escola1,F,17,U,GT3,T,4,4,outro,professor,curso preferido,mae,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,1,1,4,0,11,11,12
155,Escola1,M,15,R,GT3,T,2,3,em_casa,servicos,curso preferido,mae,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,1,1,1,2,11,8,8
156,Escola1,M,17,R,LE3,T,1,2,outro,outro,reputacao,mae,1,1,0,no,no,no,no,yes,yes,no,no,2,2,2,3,3,5,8,16,12,13
157,Escola1,F,18,R,GT3,T,1,1,em_casa,outro,curso preferido,mae,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,1,5,4,6,9,8,10
158,Escola1,M,16,R,GT3,T,2,2,em_casa,outro,curso preferido,mae,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,17,15,15
159,Escola1,M,16,U,GT3,T,3,3,outro,servicos,curso preferido,pai,1,2,1,no,yes,yes,no,yes,yes,yes,yes,4,5,5,4,4,5,4,10,12,12
